player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-01-24,13:54:51,NA,NA,"Barrett, Hudson",805201,Left,OKL_COW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinker,NA,NA,NA,NA,NA,NA,NA,NA,88.77284,-1.252594953,2.583794462,2116.14006,149.595004,11:00:00,5.40024,-1.28324,6.91152,-19.08659,14.85051,-8.73284,2.6678,0.34328,81.32014,-4.899999155,0.9115531321,0.419284459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59947,8.65588,1.12454,50,5.3148,-5.60563,-129.29633,-3.33058,9.48653,26.75533,-17.50942,NA,NA,NA,NA,NA,NA,6db99c0b-9b5a-4945-8d7c-a84d682f984a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d84dd7b4-5255-4a83-8a53-501e21983502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.05759017,1884.528004,0.890549751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,ab2c95a4-60ef-4ced-891d-ca2fd3e379b2,89.89706,Pitching,23360082,NA,ff8a4df3-d22b-4b5c-8285-9f6bbf9a5605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-01-24,13:55:04,NA,NA,"Barrett, Hudson",805201,Left,OKL_COW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ChangeUp,NA,NA,NA,NA,NA,NA,NA,NA,81.89737,0.1792632994,3.499883647,2133.470479,123.1124495,10:00:00,5.17882,-1.93351,6.48091,-31.12822,9.79301,-15.10015,2.74968,0.02526,74.42719,-5.745428878,0.6204726898,0.4604110511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.38723,5.35142,1.69449,50,5.17757,-6.88297,-119.067,-0.44978,13.37167,24.51367,-24.5512,NA,NA,NA,NA,NA,NA,9d778d1a-f3e4-4b65-b4b8-d226af4109b9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c449f514-3aa8-4564-8fc9-a144fa3ac5af,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.03623488,1948.473088,0.9132880474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,ab2c95a4-60ef-4ced-891d-ca2fd3e379b2,81.86693,Pitching,23360082,NA,ff8a4df3-d22b-4b5c-8285-9f6bbf9a5605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-01-24,13:55:18,NA,NA,"Barrett, Hudson",805201,Left,OKL_COW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fastball,NA,NA,NA,NA,NA,NA,NA,NA,94.07412,0.3734962082,-0.06988674241,2180.903015,164.8573936,11:30:00,5.53739,-1.4177,6.5842,-11.54689,19.16405,-5.19296,4.91738,-1.91449,85.46906,-1.832420864,-1.062253595,0.398857636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85503,10.50222,1.42468,50,5.55801,0.32205,-137.06552,0.54917,5.40151,31.84929,-12.30462,NA,NA,NA,NA,NA,NA,1c7ada0a-3b7a-48b1-9071-07c7b92994e6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,de3ab83c-9473-48fe-8bab-14af2b7708e8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.47649505,1984.908134,0.9101313176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,ab2c95a4-60ef-4ced-891d-ca2fd3e379b2,94.50098,Pitching,23360082,NA,ff8a4df3-d22b-4b5c-8285-9f6bbf9a5605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-01-24,13:55:38,NA,NA,"Barrett, Hudson",805201,Left,OKL_COW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinker,NA,NA,NA,NA,NA,NA,NA,NA,90.58054,-1.150691668,2.428414186,2051.076641,131.3390902,10:30:00,5.42513,-1.16015,6.70475,-20.77501,12.16503,-13.8556,2.64088,-0.0935,82.75413,-5.110999435,-0.2197040674,0.4130793616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.39042,7.08787,1.00481,50,5.34051,-5.20502,-131.88484,-3.23336,14.74652,28.60493,-19.71683,NA,NA,NA,NA,NA,NA,68f62246-6800-44cf-a68d-c39eb19263e0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9fa24782-f1ea-4590-a8a1-b0a250d95957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.9127724,-30.05069225,1775.376439,0.8655826916,10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,A,ab2c95a4-60ef-4ced-891d-ca2fd3e379b2,91.24745,Pitching,23360082,NA,ff8a4df3-d22b-4b5c-8285-9f6bbf9a5605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-01-24,13:56:03,NA,NA,"Barrett, Hudson",805201,Left,OKL_COW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinker,NA,NA,NA,NA,NA,NA,NA,NA,89.89554,-0.3375135407,2.042069709,2105.628526,136.0677389,10:30:00,5.32229,-1.51787,NA,-21.48985,13.3389,-12.88412,3.21709,-0.68983,81.62967,-4.376383249,-0.3835838234,0.4247567837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52876,7.26818,1.35624,50,5.28127,-4.22944,-130.70447,-1.48924,12.94206,29.16727,-19.67993,NA,NA,NA,NA,NA,NA,8f28f4be-993c-4751-bd1f-9e8b0e404145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96128011-025c-49f1-a28b-dd5ce3ed9142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.80876133,1728.85142,0.8210619294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,ab2c95a4-60ef-4ced-891d-ca2fd3e379b2,NA,Pitching,23360082,NA,ff8a4df3-d22b-4b5c-8285-9f6bbf9a5605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-01-24,13:56:21,NA,NA,"Barrett, Hudson",805201,Left,OKL_COW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinker,NA,NA,NA,NA,NA,NA,NA,NA,91.05681,0.2497618618,1.281010721,2111.674254,133.2573921,10:30:00,5.42523,-1.42579,6.81461,-18.94799,13.60185,-14.48929,4.07413,-1.46445,82.7134,-3.384965769,-1.501816906,0.4106253804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.47776,7.52389,1.34889,50,5.43412,-2.5704,-132.6755,0.06008,15.00031,30.33319,-18.8615,NA,NA,NA,NA,NA,NA,515fef94-bb25-44c3-8332-29b6a9d9cd01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f44533fb-2d5b-4295-8995-5d0e24aec0aa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.96168269,1898.578895,0.8990870118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,ab2c95a4-60ef-4ced-891d-ca2fd3e379b2,91.79276,Pitching,23360082,NA,ff8a4df3-d22b-4b5c-8285-9f6bbf9a5605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-01-24,13:56:37,NA,NA,"Barrett, Hudson",805201,Left,OKL_COW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ChangeUp,NA,NA,NA,NA,NA,NA,NA,NA,83.64089,-2.025841783,3.915978533,2148.823863,115.6297885,09:45:00,5.04728,-1.90435,6.33426,-31.87028,7.69182,-16.0481,0.52124,0.36907,76.2547,-8.048661139,0.8647426245,0.4527006174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.99463,4.83612,1.6269,50,4.8845,-7.86672,-121.43579,-5.19117,14.80288,25.58965,-25.01136,NA,NA,NA,NA,NA,NA,b11da8de-31e8-4dee-9b01-19bc89100315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d332e5b3-0c50-4d04-97dc-331f9001916a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.13731156,1975.984953,0.9195658087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,ab2c95a4-60ef-4ced-891d-ca2fd3e379b2,83.26129,Pitching,23360082,NA,ff8a4df3-d22b-4b5c-8285-9f6bbf9a5605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-01-24,13:56:55,NA,NA,"Barrett, Hudson",805201,Left,OKL_COW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ChangeUp,NA,NA,NA,NA,NA,NA,NA,NA,82.17213,0.9812018072,2.570973589,2158.435655,132.2021171,10:30:00,5.23538,-1.70112,6.44968,-27.55841,13.31445,-14.74547,3.84119,-0.56661,74.10849,-4.286308923,-0.2506343102,0.460138867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.96291,7.0384,1.52593,50,5.29244,-4.97396,-119.50011,1.31639,12.77754,26.06331,-22.1401,NA,NA,NA,NA,NA,NA,42a1cd96-bf30-4d9c-94e2-d75b4a224a29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0a5b6818-c9d0-449f-991b-a6cb8b95a7b9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.34729313,2081.464293,0.9643392836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,ab2c95a4-60ef-4ced-891d-ca2fd3e379b2,81.91536,Pitching,23360082,NA,ff8a4df3-d22b-4b5c-8285-9f6bbf9a5605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-01-24,13:57:17,NA,NA,"Barrett, Hudson",805201,Left,OKL_COW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinker,NA,NA,NA,NA,NA,NA,NA,NA,90.47795,-0.9338260198,2.763354082,2219.114388,142.4443656,10:45:00,5.37789,-1.25065,6.86746,-19.13068,13.57323,-10.46149,2.93159,0.3978,82.9016,-4.587186032,0.7626807494,0.4115961313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.59855,7.83691,1.07927,50,5.31153,-6.07743,-131.77179,-2.66751,11.62184,27.55192,-18.37111,NA,NA,NA,NA,NA,NA,f0b9e2cc-47d2-45a0-b410-bb5dcdec6e55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2a092843-8fe8-4ad9-8583-27e3b007e41c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.55123505,1985.075499,0.8945350047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,B,ab2c95a4-60ef-4ced-891d-ca2fd3e379b2,91.57627,Pitching,23360082,NA,ff8a4df3-d22b-4b5c-8285-9f6bbf9a5605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-01-24,13:57:56,NA,NA,"Barrett, Hudson",805201,Left,OKL_COW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Curveball,NA,NA,NA,NA,NA,NA,NA,NA,78.75976,1.474476192,0.964473507,2408.500639,261.3125853,02:45:00,5.14386,-1.84144,6.27787,-41.59644,3.02097,19.95433,3.03687,0.71037,71.74734,-6.404335212,4.75694755,0.4807547629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.64301,1.19863,1.7607,50,5.23233,-2.45728,-114.60109,1.84964,-13.99542,23.39477,-30.59787,NA,NA,NA,NA,NA,NA,1c76784e-edb0-473f-9ed6-4511ff6756d5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d43a4991-e95e-43f7-a7b5-66870d058262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,ab2c95a4-60ef-4ced-891d-ca2fd3e379b2,78.40263,Pitching,23360082,NA,ff8a4df3-d22b-4b5c-8285-9f6bbf9a5605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
